*******************************************************************************
JPL/HORIZONS                     (2024 SD3)                2025-Sep-17 16:41:05
Rec #:50593994 (+COV) Soln.date: 2024-Oct-03_06:52:22        # obs: 22 (5 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460580.5 ! 2024-Sep-27.00 (TDB)         Residual RMS= .16765
   EC= .6998407711467929   QR= .699715985013434    TP= 2460630.8255206905
   OM= 11.97043372746525   W=  72.21413213371193   IN= 6.988736800901531
   A= 2.331149329263603    MA= 346.064029797228    ADIST= 3.962582673513772
   PER= 3.55929            N= .276916563           ANGMOM= .018760589
   DAN= .97992             DDN= 1.5128             L= 84.05990610000001
   B= 6.6531605            MOID= .00445184         TP= 2024-Nov-16.3255206905
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 26.04                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#5, OCC=8
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:41:05 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2024 SD3)                      {source: JPL#5}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460580.5 ! 2024-Sep-27.00 (TDB)         Residual RMS= .16765        
   EC= .6998407711467929   QR= .699715985013434    TP= 2460630.8255206905      
   OM= 11.97043372746525   W=  72.21413213371193   IN= 6.988736800901531       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.067900781495887E+00  Y= 6.637344314564328E-02  Z= 7.534249902715243E-03
  VX=-1.187731606779625E-02 VY= 1.442832957818752E-02 VZ= 8.770831258424571E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 26.04                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
2460559.843750000, , ,   4.978872283, -11.472639399,  0.30375492184293,-20.8622553,
2460559.875000000, , ,   4.978418903, -11.475356266,  0.30337898370813,-20.7964003,
2460559.906250000,A, ,   4.978148679, -11.478039932,  0.30300414026720,-20.7413077,
2460559.937500000,C, ,   4.978096778, -11.480698285,  0.30263017937475,-20.6988842,
2460559.968750000,*, ,   4.978289690, -11.483340406,  0.30225685879594,-20.6705465,
2460560.000000000,*, ,   4.978744181, -11.485976222,  0.30188391556986,-20.6571670,
2460560.031250000,*,m,   4.979466623, -11.488616121,  0.30151107617119,-20.6590402,
2460560.062500000,*,m,   4.980452725, -11.491270556,  0.30113806707762,-20.6758714,
2460560.093750000,*,m,   4.981687670, -11.493949639,  0.30076462533367,-20.7067881,
2460560.125000000,*,m,   4.983146670, -11.496662750,  0.30039050870378,-20.7503742,
2460560.156250000,*,m,   4.984795895, -11.499418173,  0.30001550502229,-20.8047248,
2460560.187500000,*,m,   4.986593760, -11.502222774,  0.29963944038069,-20.8675193,
2460560.218750000,*,m,   4.988492515, -11.505081731,  0.29926218583631,-20.9361116,
2460560.250000000,*,m,   4.990440071, -11.507998331,  0.29888366238489,-21.0076322,
2460560.281250000,*,m,   4.992382003, -11.510973838,  0.29850384400569,-21.0790985,
2460560.312500000,*,m,   4.994263644, -11.514007437,  0.29812275866203,-21.1475305,
2460560.343750000,*,m,   4.996032196, -11.517096260,  0.29774048721932,-21.2100653,
2460560.375000000,*,m,   4.997638774, -11.520235491,  0.29735716032155,-21.2640676,
2460560.406250000,*,m,   4.999040302, -11.523418547,  0.29697295334705,-21.3072318,
2460560.437500000,*,m,   5.000201199, -11.526637325,  0.29658807963678,-21.3376705,
2460560.468750000,N,m,   5.001094769, -11.529882511,  0.29620278225634,-21.3539880,
2460560.500000000, ,m,   5.001704260, -11.533143935,  0.29581732460823,-21.3553339,
2460560.531250000, ,m,   5.002023539, -11.536410965,  0.29543198025670,-21.3414362,
2460560.562500000, ,m,   5.002057360, -11.539672914,  0.29504702235722,-21.3126121,
2460560.593750000, , ,   5.001821213, -11.542919454,  0.29466271309898,-21.2697557,
2460560.625000000, , ,   5.001340750, -11.546141020,  0.29427929356856,-21.2143036,
2460560.656250000, , ,   5.000650826, -11.549329181,  0.29389697442676,-21.1481798,
2460560.687500000, , ,   4.999794169, -11.552476973,  0.29351592776020,-21.0737208,
2460560.718750000, , ,   4.998819753, -11.555579171,  0.29313628042321,-20.9935860,
2460560.750000000, , ,   4.997780914, -11.558632502,  0.29275810912857,-20.9106542,
2460560.781250000, , ,   4.996733296, -11.561635776,  0.29238143747792,-20.8279126,
2460560.812500000, , ,   4.995732700, -11.564589940,  0.29200623504670,-20.7483412,
2460560.843750000, , ,   4.994832925, -11.567498048,  0.29163241855975,-20.6747973,
2460560.875000000, , ,   4.994083676, -11.570365148,  0.29125985511154,-20.6099053,
2460560.906250000,A, ,   4.993528631, -11.573198095,  0.29088836730589,-20.5559548,
2460560.937500000,C, ,   4.993203732, -11.576005291,  0.29051774011599,-20.5148125,
2460560.968750000,*, ,   4.993135777, -11.578796360,  0.29014772919790,-20.4878497,
2460561.000000000,*, ,   4.993341358, -11.581581786,  0.28977807033575,-20.4758900,
2460561.031250000,*, ,   4.993826198, -11.584372504,  0.28940848965227,-20.4791770,
2460561.062500000,*,m,   4.994584903, -11.587179480,  0.28903871418964,-20.4973655,
2460561.093750000,*,m,   4.995601141, -11.590013291,  0.28866848245174,-20.5295349,
2460561.125000000,*,m,   4.996848252, -11.592883712,  0.28829755450052,-20.5742246,
2460561.156250000,*,m,   4.998290250, -11.595799336,  0.28792572121711,-20.6294912,
2460561.187500000,*,m,   4.999883192, -11.598767242,  0.28755281237106,-20.6929830,
2460561.218750000,*,m,   5.001576854, -11.601792717,  0.28717870318676,-20.7620312,
2460561.250000000,*,m,   5.003316658, -11.604879045,  0.28680331915486,-20.8337526,
2460561.281250000,*,m,   5.005045764, -11.608027377,  0.28642663890359,-20.9051613,
2460561.312500000,*,m,   5.006707262, -11.611236678,  0.28604869501968,-20.9732835,
2460561.343750000,*,m,   5.008246368, -11.614503765,  0.28566957278768,-21.0352725,
2460561.375000000,*,m,   5.009612544, -11.617823416,  0.28528940689581,-21.0885183,
2460561.406250000,*,m,   5.010761467, -11.621188572,  0.28490837623513,-21.1307488,
2460561.437500000,*,m,   5.011656753, -11.624590600,  0.28452669699217,-21.1601168,
2460561.468750000,N,m,   5.012271389, -11.628019622,  0.28414461430035,-21.1752722,
2460561.500000000, ,m,   5.012588802, -11.631464896,  0.28376239277195,-21.1754138,
2460561.531250000, ,m,   5.012603535, -11.634915223,  0.28338030627539,-21.1603204,
2460561.562500000, ,m,   5.012321484, -11.638359385,  0.28299862735207,-21.1303599,
2460561.593750000, ,m,   5.011759709, -11.641786574,  0.28261761668153,-21.0864746,
2460561.625000000, , ,   5.010945805, -11.645186819,  0.28223751300242,-21.0301455,
2460561.656250000, , ,   5.009916860, -11.648551369,  0.28185852387907,-20.9633348,
2460561.687500000, , ,   5.008718053, -11.651873044,  0.28148081767166,-20.8884104,
2460561.718750000, , ,   5.007400920, -11.655146512,  0.28110451702149,-20.8080541,
2460561.750000000, , ,   5.006021380, -11.658368510,  0.28072969410403,-20.7251580,
2460561.781250000, , ,   5.004637578, -11.661537969,  0.28035636783421,-20.6427125,
2460561.812500000, , ,   5.003307637, -11.664656075,  0.27998450313268,-20.5636909,
2460561.843750000, , ,   5.002087409, -11.667726217,  0.27961401228137,-20.4909339,
2460561.875000000, , ,   5.001028299, -11.670753876,  0.27924475831581,-20.4270400,
2460561.906250000,A, ,   5.000175270, -11.673746408,  0.27887656032222,-20.3742649,
2460561.937500000,C, ,   4.999565078, -11.676712775,  0.27850920043391,-20.3344343,
2460561.968750000,*, ,   4.999224832, -11.679663194,  0.27814243225512,-20.3088735,
2460562.000000000,*, ,   4.999170919, -11.682608752,  0.27777599038573,-20.2983563,
2460562.031250000,*, ,   4.999408345, -11.685560978,  0.27740960067789,-20.3030751,
2460562.062500000,*,m,   4.999930514, -11.688531395,  0.27704299082744,-20.3226339,
2460562.093750000,*,m,   5.000719450, -11.691531082,  0.27667590089082,-20.3560636,
2460562.125000000,*,m,   5.001746469, -11.694570239,  0.27630809332120,-20.4018594,
2460562.156250000,*,m,   5.002973259, -11.697657792,  0.27593936213722,-20.4580398,
2460562.187500000,*,m,   5.004353335, -11.700801049,  0.27556954087054,-20.5222222,
2460562.218750000,*,m,   5.005833813, -11.704005408,  0.27519850898678,-20.5917156,
2460562.250000000,*,m,   5.007357437, -11.707274147,  0.27482619653294,-20.6636244,
2460562.281250000,*,m,   5.008864779, -11.710608291,  0.27445258683251,-20.7349597,
2460562.312500000,*,m,   5.010296524, -11.714006563,  0.27407771712506,-20.8027554,
2460562.343750000,*,m,   5.011595764, -11.717465429,  0.27370167712559,-20.8641817,
2460562.375000000,*,m,   5.012710201, -11.720979227,  0.27332460555936,-20.9166552,
2460562.406250000,*,m,   5.013594182, -11.724540377,  0.27294668480490,-20.9579378,
2460562.437500000,*,m,   5.014210479, -11.728139668,  0.27256813385161,-20.9862238,
2460562.468750000,N,m,   5.014531758, -11.731766611,  0.27218919984254,-21.0002095,
2460562.500000000, ,m,   5.014541658, -11.735409837,  0.27181014852812,-20.9991434,
2460562.531250000, ,m,   5.014235465, -11.739057534,  0.27143125399864,-20.9828559,
2460562.562500000, ,m,   5.013620323, -11.742697908,  0.27105278809154,-20.9517655,
2460562.593750000, ,m,   5.012714997, -11.746319633,  0.27067500988281,-20.9068631,
2460562.625000000, ,m,   5.011549181, -11.749912298,  0.27029815566863,-20.8496739,
2460562.656250000, ,m,   5.010162383, -11.753466811,  0.26992242982539,-20.7821983,
2460562.687500000, , ,   5.008602419, -11.756975759,  0.26954799690210,-20.7068349,
2460562.718750000, , ,   5.006923590, -11.760433700,  0.26917497525208,-20.6262873,
2460562.750000000, , ,   5.005184592, -11.763837384,  0.26880343245121,-20.5434601,
2460562.781250000, , ,   5.003446257, -11.767185885,  0.26843338268083,-20.4613462,
2460562.812500000, , ,   5.001769201, -11.770480646,  0.26806478617684,-20.3829110,
2460562.843750000, , ,   5.000211471, -11.773725434,  0.26769755076661,-20.3109776,
2460562.875000000, , ,   4.998826293, -11.776926198,  0.26733153543386,-20.2481175,
2460562.906250000,A, ,   4.997659991, -11.780090847,  0.26696655577291,-20.1965516,
2460562.937500000,C, ,   4.996750180, -11.783228953,  0.26660239112053,-20.1580637,
2460562.968750000,*, ,   4.996124285, -11.786351382,  0.26623879308841,-20.1339322,
2460563.000000000,*, ,   4.995798452, -11.789469878,  0.26587549516528,-20.1248804,
2460563.031250000,*, ,   4.995776894, -11.792596614,  0.26551222301672,-20.1310490,
2460563.062500000,*, ,   4.996051700, -11.795743722,  0.26514870508384,-20.1519908,
2460563.093750000,*,m,   4.996603108, -11.798922823,  0.26478468307141,-20.1866882,
2460563.125000000,*,m,   4.997400240, -11.802144577,  0.26441992192018,-20.2335924,
2460563.156250000,*,m,   4.998402264, -11.805418273,  0.26405421887914,-20.2906836,
2460563.187500000,*,m,   4.999559950, -11.808751459,  0.26368741132806,-20.3555493,
2460563.218750000,*,m,   5.000817542, -11.812149654,  0.26331938304962,-20.4254768,
2460563.250000000,*,m,   5.002114901, -11.815616123,  0.26295006870966,-20.4975586,
2460563.281250000,*,m,   5.003389808, -11.819151748,  0.26257945637393,-20.5688043,
2460563.312500000,*,m,   5.004580367, -11.822754985,  0.26220758796429,-20.6362559,
2460563.343750000,*,m,   5.005627391, -11.826421916,  0.26183455763726,-20.6971019,
2460563.375000000,*,m,   5.006476696, -11.830146391,  0.26146050814708,-20.7487863,
2460563.406250000,*,m,   5.007081214, -11.833920263,  0.26108562533305,-20.7891065,
2460563.437500000,*,m,   5.007402825, -11.837733689,  0.26071013094311,-20.8162988,
$$EOE
***********************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
SOLAR PRESENCE (OBSERVING SITE)
  Time tag is followed by a blank, then a solar-presence symbol:

       '*'  Daylight (refracted solar upper-limb on or above apparent horizon)
       'C'  Civil twilight/dawn
       'N'  Nautical twilight/dawn
       'A'  Astronomical twilight/dawn
       ' '  Night OR geocentric ephemeris

LUNAR PRESENCE (OBSERVING SITE)
  The solar-presence symbol is immediately followed by a lunar-presence symbol:

       'm'  Refracted upper-limb of Moon on or above apparent horizon
       ' '  Refracted upper-limb of Moon below apparent horizon OR geocentric
            ephemeris
 
 'R.A.___(ICRF), DEC____(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}
 
 'delta,     deldot,' =
   Apparent range ("delta", light-time aberrated) and range-rate ("delta-dot")
of the target center relative to the observer. A positive "deldot" means the
target center is moving away from the observer, negative indicates movement
toward the observer.  Units: AU and KM/S

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov

***********************************************************************************
